Date,Open,High,Low,Close,Adj Close,Volume
2014-02-21,0.901120,0.901632,0.895255,0.900982,0.900982,0
2014-02-24,0.897908,0.901957,0.893975,0.897747,0.897747,0
2014-02-25,0.903677,0.904323,0.900739,0.903751,0.903751,0
2014-02-26,0.901145,0.902690,0.895977,0.900982,0.900982,0
2014-02-27,0.896379,0.896861,0.890710,0.896379,0.896379,0
2014-02-28,0.895977,0.898796,0.892777,0.896170,0.896170,0
2014-03-03,0.890472,0.894214,0.889284,0.890234,0.890234,0
2014-03-04,0.892459,0.896700,0.891425,0.892538,0.892538,0
2014-03-05,0.895897,0.900090,0.894534,0.895415,0.895415,0
2014-03-06,0.897908,0.908595,0.897424,0.897819,0.897819,0
2014-03-07,0.910415,0.913492,0.907194,0.910581,0.910581,0
2014-03-10,0.905715,0.906454,0.901307,0.905797,0.905797,0
2014-03-11,0.902201,0.905059,0.901145,0.902446,0.902446,0
2014-03-12,0.896539,0.897827,0.892857,0.896539,0.896539,0
2014-03-13,0.899847,0.910415,0.899766,0.899766,0.899766,0
2014-03-14,0.903016,0.904977,0.899928,0.903016,0.903016,0
2014-03-17,0.903098,0.909835,0.901226,0.902935,0.902935,0
2014-03-18,0.908513,0.913576,0.906618,0.908430,0.908430,0
2014-03-19,0.913075,0.913492,0.909753,0.913325,0.913325,0
2014-03-20,0.903016,0.904568,0.899766,0.903016,0.903016,0
2014-03-21,0.903832,0.909422,0.903751,0.903832,0.903832,0
2014-03-24,0.909339,0.913075,0.905387,0.909422,0.909422,0
2014-03-25,0.912992,0.915835,0.912076,0.912992,0.912992,0
2014-03-26,0.916338,0.924642,0.915583,0.916254,0.916254,0
2014-03-27,0.922254,0.927214,0.921829,0.921829,0.921829,0
2014-03-28,0.927042,0.929714,0.923788,0.926698,0.926698,0
2014-03-31,0.924984,0.927816,0.922084,0.926012,0.926012,0
2014-04-01,0.927214,0.929454,0.923191,0.926870,0.926870,0
2014-04-02,0.923873,0.926441,0.922679,0.923873,0.923873,0
2014-04-03,0.924813,0.925069,0.920810,0.924727,0.924727,0
2014-04-04,0.923446,0.930579,0.923191,0.923276,0.923276,0
2014-04-07,0.928764,0.929714,0.925497,0.929023,0.929023,0
2014-04-08,0.926784,0.935804,0.926698,0.926698,0.926698,0
2014-04-09,0.935130,0.938703,0.933794,0.935104,0.935104,0
2014-04-10,0.937734,0.946163,0.937647,0.937822,0.937822,0
2014-04-11,0.939673,0.942774,0.936593,0.939761,0.939761,0
2014-04-14,0.938527,0.942418,0.938527,0.938527,0.938527,0
2014-04-15,0.941354,0.941797,0.933881,0.941176,0.941176,0
2014-04-16,0.934317,0.938350,0.933358,0.934317,0.934317,0
2014-04-17,0.937559,0.939232,0.933794,0.937383,0.937383,0
2014-04-18,0.933097,0.934405,0.932488,0.933097,0.933097,0
2014-04-21,0.933184,0.934754,0.931880,0.933358,0.933358,0
2014-04-22,0.933794,0.937822,0.933271,0.933794,0.933794,0
2014-04-23,0.937207,0.937822,0.927042,0.937032,0.937032,0
2014-04-24,0.929368,0.930406,0.925497,0.928850,0.928850,0
2014-04-25,0.926612,0.929800,0.925497,0.927042,0.927042,0
2014-04-28,0.927644,0.931532,0.925497,0.927386,0.927386,0
2014-04-29,0.925497,0.928160,0.923020,0.925378,0.925378,0
2014-04-30,0.927472,0.929714,0.925412,0.927472,0.927472,0
2014-05-01,0.928453,0.931272,0.926183,0.928333,0.928333,0
2014-05-02,0.927558,0.928074,0.920386,0.927644,0.927644,0
2014-05-05,0.927472,0.929023,0.925326,0.927558,0.927558,0
2014-05-06,0.928333,0.936680,0.927386,0.928247,0.928247,0
2014-05-07,0.935016,0.935541,0.932053,0.935104,0.935104,0
2014-05-08,0.932314,0.939585,0.932227,0.932401,0.932401,0
2014-05-09,0.936944,0.938086,0.934842,0.936944,0.936944,0
2014-05-12,0.935891,0.938703,0.935016,0.936067,0.936067,0
2014-05-13,0.936067,0.938350,0.933358,0.936067,0.936067,0
2014-05-14,0.936505,0.941088,0.936505,0.936505,0.936505,0
2014-05-15,0.937032,0.939320,0.933097,0.937119,0.937119,0
2014-05-16,0.935716,0.937295,0.933620,0.935804,0.935804,0
2014-05-19,0.936593,0.936768,0.934492,0.936768,0.936768,0
2014-05-20,0.933358,0.933532,0.925069,0.933445,0.933445,0
2014-05-21,0.923361,0.924471,0.921065,0.923446,0.923446,0
2014-05-22,0.923788,0.927472,0.921914,0.923617,0.923617,0
2014-05-23,0.922850,0.924898,0.921574,0.922765,0.922765,0
2014-05-26,0.923958,0.925069,0.923191,0.924044,0.924044,0
