Date,Open,High,Low,Close,Adj Close,Volume
2014-02-21,1.666250,1.672493,1.663506,1.666167,1.666167,0
2014-02-24,1.663257,1.668001,1.658595,1.663340,1.663340,0
2014-02-25,1.665751,1.672017,1.665085,1.665695,1.665695,0
2014-02-26,1.667695,1.669811,1.662483,1.667723,1.667723,0
2014-02-27,1.666806,1.667890,1.662013,1.666833,1.666833,0
2014-02-28,1.669170,1.675940,1.667806,1.669198,1.669198,0
2014-03-03,1.673724,1.675210,1.670118,1.672912,1.672912,0
2014-03-04,1.666639,1.671514,1.664309,1.666833,1.666833,0
2014-03-05,1.666806,1.673948,1.665889,1.666694,1.666694,0
2014-03-06,1.671542,1.673668,1.669003,1.671905,1.671905,0
2014-03-07,1.674257,1.678500,1.670955,1.674173,1.674173,0
2014-03-10,1.673164,1.674173,1.662345,1.673108,1.673108,0
2014-03-11,1.664004,1.665501,1.660164,1.664004,1.664004,0
2014-03-12,1.662096,1.663700,1.657413,1.662068,1.662068,0
2014-03-13,1.662096,1.671402,1.660992,1.662124,1.662124,0
2014-03-14,1.662400,1.663949,1.659008,1.662511,1.662511,0
2014-03-17,1.664198,1.666694,1.660688,1.664253,1.664253,0
2014-03-18,1.664198,1.664780,1.654725,1.663921,1.663921,0
2014-03-19,1.659613,1.665390,1.658897,1.659806,1.659806,0
2014-03-20,1.653439,1.656671,1.648288,1.653904,1.653904,0
2014-03-21,1.650819,1.652128,1.647636,1.650873,1.650873,0
2014-03-24,1.649376,1.651037,1.647067,1.649022,1.649022,0
2014-03-25,1.649838,1.653603,1.648288,1.649838,1.649838,0
2014-03-26,1.653467,1.657633,1.651310,1.653302,1.653302,0
2014-03-27,1.657935,1.664752,1.655602,1.657687,1.657687,0
2014-03-28,1.660909,1.664891,1.660412,1.660799,1.660799,0
2014-03-31,1.664808,1.668085,1.661626,1.664392,1.664392,0
2014-04-01,1.666611,1.667417,1.662400,1.666639,1.666639,0
2014-04-02,1.662897,1.666139,1.662400,1.663312,1.663312,0
2014-04-03,1.662732,1.666306,1.657275,1.662732,1.662732,0
2014-04-04,1.659889,1.660440,1.655931,1.659889,1.659889,0
2014-04-07,1.658017,1.662400,1.656781,1.657907,1.657907,0
2014-04-08,1.661074,1.675463,1.660992,1.661047,1.661047,0
2014-04-09,1.674677,1.676390,1.672604,1.675014,1.675014,0
2014-04-10,1.680023,1.682312,1.675800,1.679995,1.679995,0
2014-04-11,1.677627,1.678697,1.671933,1.677740,1.677740,0
2014-04-14,1.672996,1.674313,1.669951,1.672968,1.672968,0
2014-04-15,1.672744,1.674902,1.668808,1.672912,1.672912,0
2014-04-16,1.672604,1.681520,1.672185,1.672548,1.672548,0
2014-04-17,1.680418,1.684211,1.679910,1.680588,1.680588,0
2014-04-18,1.678500,1.680305,1.677599,1.678669,1.678669,0
2014-04-21,1.678613,1.682114,1.678613,1.679177,1.679177,0
2014-04-22,1.679007,1.684012,1.678782,1.679289,1.679289,0
2014-04-23,1.682312,1.683728,1.676362,1.682680,1.682680,0
2014-04-24,1.678387,1.680898,1.676896,1.678500,1.678500,0
2014-04-25,1.681011,1.682992,1.679177,1.680955,1.680955,0
2014-04-28,1.680475,1.685431,1.677993,1.680559,1.680559,0
2014-04-29,1.681011,1.684806,1.679882,1.681011,1.681011,0
2014-04-30,1.682567,1.689703,1.680898,1.682425,1.682425,0
2014-05-01,1.687707,1.691303,1.687280,1.687650,1.687650,0
2014-05-02,1.689503,1.689703,1.682992,1.689532,1.689532,0
2014-05-05,1.687878,1.688476,1.685715,1.687906,1.687906,0
2014-05-06,1.686910,1.699640,1.686767,1.686995,1.686995,0
2014-05-07,1.697706,1.698831,1.695893,1.697678,1.697678,0
2014-05-08,1.695461,1.697188,1.693939,1.695548,1.695548,0
2014-05-09,1.693709,1.693709,1.683360,1.693537,1.693537,0
2014-05-12,1.686113,1.690303,1.684977,1.686028,1.686028,0
2014-05-13,1.687280,1.688533,1.682793,1.687365,1.687365,0
2014-05-14,1.683247,1.687479,1.675856,1.683417,1.683417,0
2014-05-15,1.677065,1.680644,1.673864,1.677008,1.677008,0
2014-05-16,1.679402,1.683813,1.678528,1.679543,1.679543,0
2014-05-19,1.682454,1.684409,1.680813,1.682425,1.682425,0
2014-05-20,1.681605,1.685800,1.680559,1.681690,1.681690,0
2014-05-21,1.683984,1.691818,1.683332,1.683728,1.683728,0
2014-05-22,1.689731,1.691361,1.685459,1.689703,1.689703,0
2014-05-23,1.686796,1.687707,1.681973,1.686739,1.686739,0
2014-05-26,1.683473,1.685431,1.682793,1.683417,1.683417,0
2014-05-27,1.684409,1.688134,1.679797,1.684381,1.684381,0
2014-05-28,1.681209,1.681605,1.670202,1.681209,1.681209,0
2014-05-29,1.671374,1.674088,1.669811,1.671598,1.671598,0
2014-05-30,1.672409,1.677711,1.671849,1.672436,1.672436,0
2014-06-02,1.675631,1.676193,1.672828,1.675659,1.675659,0
2014-06-03,1.674593,1.678190,1.673304,1.674593,1.674593,0
2014-06-04,1.674117,1.676896,1.670007,1.674117,1.674117,0
2014-06-05,1.673808,1.680220,1.672548,1.674004,1.674004,0
