Id,Start,Name,Impact,Currency
a0b29d1b-f204-4520-bfb7-8387c8405d49,03/27/2014 12:30:00,Continuing Jobless Claims,MEDIUM,USD
1e7bd9d7-3bdc-43f3-9bbd-bdb9fe6c6385,03/27/2014 12:30:00,Core Personal Consumption Expenditures (QoQ),MEDIUM,USD
55763026-7ed6-4c8b-bcf0-09dd5d3e5f36,03/27/2014 12:30:00,Gross Domestic Product Annualized,MEDIUM,USD
017152fb-535b-49f9-a167-c2bc04ddcbd3,03/27/2014 12:30:00,Gross Domestic Product Price Index,MEDIUM,USD
b723e899-6eda-4808-9edb-75a017659fbd,03/27/2014 12:30:00,Initial Jobless Claims,MEDIUM,USD
58c89cb6-4a29-4eb4-be76-c0faa8744bfd,03/27/2014 12:30:00,Personal Consumption Expenditures Prices (QoQ),MEDIUM,USD
24d78f01-37b8-4ffd-b458-b49fbf419ead,03/27/2014 14:00:00,Pending Home Sales (YoY),MEDIUM,USD
0c4f88df-0bf5-4011-9a44-ae32fe18ad2c,03/28/2014 12:30:00,Core Personal Consumption Expenditures - Price Index (YoY),MEDIUM,USD
e4552c9f-4c49-4288-ab8c-9da543a82c1e,03/28/2014 12:30:00,Personal Income (MoM),MEDIUM,USD
a00722a6-7ccb-4481-98fd-2d678e83e566,03/28/2014 12:30:00,Personal Spending,MEDIUM,USD
6d5bada0-2b50-4f96-829b-b2c856298fa2,03/28/2014 14:55:00,Michigan Consumer Sentiment Index,MEDIUM,USD
52393e9f-acf2-47f3-b5b4-ac34587a30b6,03/31/2014 13:45:00,Chicago Purchasing Managers' Index,MEDIUM,USD
c91a0d41-b81c-46c6-92b4-3cbcdbc43562,03/31/2014 13:55:00,Fed's Chair Yellen speech,HIGH,USD
014fb28c-d192-4918-8b89-9ebb38e556a3,03/31/2014 14:30:00,Dallas Fed Manufacturing Business Index,MEDIUM,USD
87ab2c72-1ccf-4805-ace5-73de71a22f2f,04/01/2014 13:45:00,S&P Global Manufacturing PMI,MEDIUM,USD
7bbc2523-3e5b-4409-9a30-6e7f7b8b92bb,04/01/2014 14:00:00,Construction Spending (MoM),MEDIUM,USD
61177d96-36d0-4b87-81b7-512a7f9a0f30,04/01/2014 14:00:00,ISM Manufacturing PMI,HIGH,USD
90a92f94-de8e-40a3-b6d2-a41fb0578c75,04/01/2014 14:00:00,ISM Manufacturing Prices Paid,MEDIUM,USD
789d63a6-1c18-4d0e-9672-c75396526be5,04/02/2014 11:00:00,MBA Mortgage Applications,MEDIUM,USD
bdd5cfe1-13fb-4389-ada7-b3e8b5fc9a3d,04/02/2014 12:15:00,ADP Employment Change,MEDIUM,USD
c605d0f1-d6bf-4ab7-afa6-949abba714a3,04/02/2014 14:00:00,Factory Orders (MoM),MEDIUM,USD
3b9c320c-3823-4adf-bca8-76f0444f9d58,04/03/2014 12:30:00,Continuing Jobless Claims,MEDIUM,USD
de382298-46fa-4b15-939f-251cd218ea5a,04/03/2014 12:30:00,Goods and Services Trade Balance,MEDIUM,USD
98eb67a7-b3ad-4d3f-a40c-21e853bc939a,04/03/2014 12:30:00,Initial Jobless Claims,MEDIUM,USD
46f4f7b8-e546-41ed-bbcb-fb1a8baf33b7,04/03/2014 13:45:00,S&P Global Services PMI,MEDIUM,USD
bd214d1b-781c-48ed-8014-871ad8bd5e02,04/03/2014 14:00:00,ISM Services PMI,HIGH,USD
1fed1a21-c10a-44da-998f-df1ff6ec9c3e,04/04/2014 12:30:00,Average Hourly Earnings (YoY),MEDIUM,USD
89235a8d-0a6a-4da6-84b4-0e36fd9f7350,04/04/2014 12:30:00,Average Weekly Hours,MEDIUM,USD
689c9721-87ae-44f0-9109-1b3d7899ec73,04/04/2014 12:30:00,Labor Force Participation Rate,MEDIUM,USD
6061b3fd-e62d-4b8d-8def-dadcdf6d7bca,04/04/2014 12:30:00,Nonfarm Payrolls,HIGH,USD
6e46cc8a-930d-45ac-a15b-d4af862e1fd4,04/04/2014 12:30:00,Unemployment Rate,HIGH,USD
b9e1dccc-bea9-4439-b01a-9ab98bb2e460,04/07/2014 14:00:00,Labor Market Conditions Index,MEDIUM,USD
